id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28374792,Comfy studio in Antwerp centre,65855928,Dries,,Stadspark,51.20796,4.41248,Entire home/apt,41,10,62,2019-11-01,1.82,5,229
28379011,Charming apartment in Antwerp centre,65855928,Dries,,Stadspark,51.20844,4.4114,Entire home/apt,71,2,48,2019-07-29,1.41,5,104
28381974,studio in Antwerp (south),214273246,Nele,,Brederode,51.20494,4.39919,Private room,41,4,24,2019-08-17,0.78,1,106
28401157,A quiet bedroom 15 minutes from Antwerp center.,26368589,Caroline,,Deurne Oost,51.22165,4.48302,Private room,30,1,58,2019-04-14,1.74,1,1
28405887,Complete apartment in the centre of Antwerp,62946109,Tom,,Stadspark,51.21041,4.4079,Entire home/apt,75,4,9,2019-07-22,0.27,1,77
28434123,"Pauline LOVEling, quiet+lovely garden+2 bathrooms!",37722028,Zouhra,,Stuivenberg,51.21968,4.43263,Entire home/apt,146,2,28,2019-10-11,0.90,3,351
28561382,Kamer in Luxueus Appartement te Antwerpen Wilrijk,215555864,Charlie,,Hoogte,51.17435,4.40331,Private room,40,2,52,2019-09-22,1.61,2,0
28661765,Antwerp South cozy house with garden and garage,215545400,Madeleine,,Kiel,51.19353,4.37771,Entire home/apt,90,4,2,2020-06-14,0.24,1,299
28677510,Bed& Breakfast ‘t Zuid,113627827,Jeanine,,Zuid,51.21041,4.39934,Private room,66,1,1,2020-02-02,0.06,2,173
28693154,Modern apart in city center! Free parking,216462773,Dean,,Stadspark,51.21561,4.41477,Entire home/apt,55,1,329,2020-09-11,9.76,1,32
28750136,"Bright & light ""all you need"" apartment",90246068,Sandra,,Historisch Centrum,51.22212,4.4035,Entire home/apt,70,2,114,2019-11-29,3.38,1,16
28772811,EXCLUSIVE LOFT IN ANTWERP,71279617,Sten,,Dam,51.23084,4.43125,Entire home/apt,89,2,3,2019-03-12,0.10,1,18
28778081,Licht en ruim herenhuis Antwerpen-Zuid,173381402,Anneke,,Brederode,51.20458,4.3925,Entire home/apt,120,2,20,2021-07-11,0.61,1,9
28808213,calm and beautiful apartment in Antwerp city,110993942,Rev,,Centraal Station,51.2184,4.42379,Entire home/apt,118,2,26,2021-05-02,0.84,16,329
28808356,calm and cosy apartment in Antwerp city,110993942,Rev,,Amandus - Atheneum,51.21951,4.423,Entire home/apt,85,2,5,2019-05-24,0.15,16,340
28839558,Antwerp duplex apartment with billiard table,36350256,Kevin,,Borgerhout Intra Muros Zuid,51.21399,4.4341,Entire home/apt,75,2,4,2019-04-21,0.14,1,48
